Gene name,ens_gene,pval,qval,transcript_id
Smco1,ENSMUSG00000046345,3.22424465773835E-07,0.0004294895,ENSMUST00000093183.3
Myf6,ENSMUSG00000035923,3.48133350960215E-07,0.0004496828,ENSMUST00000044210.4
Ankrd23,ENSMUSG00000067653,3.79417428096168E-07,0.0004620871,ENSMUST00000193083.5
Atoh8,ENSMUSG00000037621,3.77120258370921E-07,0.0004620871,ENSMUST00000206425.1
Eef1akmt4,ENSMUSG00000115219,4.13083008427959E-07,0.0004788762,ENSMUST00000115522.8
Klhl33,ENSMUSG00000090799,4.15671658782122E-07,0.0004788762,ENSMUST00000227271.1
Asb18,ENSMUSG00000067081,4.53467129103702E-07,0.0004956279,ENSMUST00000086882.7
Sec14l5,ENSMUSG00000091712,4.45069463627478E-07,0.0004956279,ENSMUST00000230616.1
Kcnn3,ENSMUSG00000000794,5.09751545934067E-07,0.0005432167,ENSMUST00000124584.3
Chrna1,ENSMUSG00000027107,5.40947551621265E-07,0.0005624007,ENSMUST00000028515.3
Mtch1,ENSMUSG00000024012,6.02688402036012E-07,0.0006116713,ENSMUST00000118366.7
Uqcc1,ENSMUSG00000005882,7.02845636335413E-07,0.0006967325,ENSMUST00000109636.10
Ppp1r27,ENSMUSG00000025129,8.15199195704776E-07,0.0007837338,ENSMUST00000026121.2
Lrrc52,ENSMUSG00000040485,8.27382845158448E-07,0.0007837338,ENSMUST00000036643.5
Tubb6,ENSMUSG00000001473,0.000000972,0.0008815561,ENSMUST00000001513.6
Gadd45a,ENSMUSG00000036390,9.68430542027158E-07,0.0008815561,ENSMUST00000126194.1
Pitpnc1,ENSMUSG00000040430,9.97807308158489E-07,0.0008860945,ENSMUST00000040380.12
Peg3,ENSMUSG00000002265,1.07516958210491E-06,0.0009353098,ENSMUST00000051209.10
Stum,ENSMUSG00000053963,1.10163665757452E-06,0.0009391673,ENSMUST00000136521.1
Ugcg,ENSMUSG00000028381,1.20526947996874E-06,0.0009981923,ENSMUST00000030074.7
Ttyh1,ENSMUSG00000030428,1.21770744429957E-06,0.0009981923,ENSMUST00000032594.12
Chrnb1,ENSMUSG00000041189,1.25188609499039E-06,0.0010068471,ENSMUST00000154816.1
Prmt1,ENSMUSG00000109324,1.39844127203811E-06,0.0011000958,ENSMUST00000209124.1
Chrnb1,ENSMUSG00000041189,1.41944515231669E-06,0.0011000958,ENSMUST00000045971.8
Lsmem1,ENSMUSG00000071342,1.5403461800032E-06,0.0011724785,ENSMUST00000220951.1
Klhdc1,ENSMUSG00000051890,1.58313445865097E-06,0.0011839068,ENSMUST00000063445.12
Ankrd1,ENSMUSG00000024803,0.00000168,0.0012346529,ENSMUST00000025718.8
Kif1b,ENSMUSG00000063077,1.73542604232116E-06,0.0012538012,ENSMUST00000030806.5
Perm1,ENSMUSG00000078486,2.10255099519135E-06,0.0014937223,ENSMUST00000105572.2
Gbp10,ENSMUSG00000105096,2.31678656052174E-06,0.0015928281,ENSMUST00000065588.6
Slc18a1,ENSMUSG00000036330,2.30816118193771E-06,0.0015928281,ENSMUST00000037478.12
Cdkn1a,ENSMUSG00000023067,2.36607324391966E-06,0.0016008927,ENSMUST00000023829.6
Zim1,ENSMUSG00000002266,0.000002587,0.0017230078,ENSMUST00000002336.15
Ampd3,ENSMUSG00000005686,2.87452371260996E-06,0.0018850684,ENSMUST00000005829.12
Pfkfb1,ENSMUSG00000025271,2.99043590811977E-06,0.0019313685,ENSMUST00000080884.10
Apobec2,ENSMUSG00000040694,3.21949714987425E-06,0.0019604898,ENSMUST00000046549.3
Pdpn,ENSMUSG00000028583,3.13951983252965E-06,0.0019604898,ENSMUST00000030317.13
Pdpn,ENSMUSG00000096951,3.13951983252965E-06,0.0019604898,ENSMUST00000181754.7
Apobec2,ENSMUSG00000116086,3.21949714987425E-06,0.0019604898,ENSMUST00000229603.1
Arpp21,ENSMUSG00000032503,3.37480811269396E-06,0.0019979801,ENSMUST00000161945.1
Cmbl,ENSMUSG00000022235,0.000003336,0.0019979801,ENSMUST00000070918.13
Gdnf,ENSMUSG00000022144,3.50872461499367E-06,0.0020211202,ENSMUST00000022744.4
Riiad1,ENSMUSG00000028139,3.47243434689148E-06,0.0020211202,ENSMUST00000029785.3
A930003A15Rik,ENSMUSG00000075330,3.69654660547836E-06,0.0020752457,ENSMUST00000100083.3
Stbd1,ENSMUSG00000047963,3.70005804198002E-06,0.0020752457,ENSMUST00000050952.3
Amer1,ENSMUSG00000050332,4.00291171463086E-06,0.0022159495,ENSMUST00000084535.5
Syt12,ENSMUSG00000049303,4.1724141978407E-06,0.0022783739,ENSMUST00000059295.9
Myl12a,ENSMUSG00000024048,4.22257629728139E-06,0.0022783739,ENSMUST00000024846.12
Kcnc1,ENSMUSG00000058975,4.30812259409258E-06,0.0022954754,ENSMUST00000025202.7
Dnajb5,ENSMUSG00000036052,4.41363378609627E-06,0.0023226612,ENSMUST00000084662.11
Stat3,ENSMUSG00000004040,4.51728925640257E-06,0.0023450637,ENSMUST00000127638.7
Ttc9,ENSMUSG00000042734,4.56623387478997E-06,0.0023450637,ENSMUST00000218362.1
Creld1,ENSMUSG00000030284,4.6918085148048E-06,0.0023808694,ENSMUST00000129125.1
Pold4,ENSMUSG00000024854,0.000005651,0.0026831393,ENSMUST00000025773.3
Clca1,ENSMUSG00000028255,5.66514654465179E-06,0.0026831393,ENSMUST00000029919.6
Kalrn,ENSMUSG00000061751,5.38879883733305E-06,0.0026831393,ENSMUST00000114964.7
Dusp13,ENSMUSG00000021768,5.58882989761056E-06,0.0026831393,ENSMUST00000119866.8
Pde4b,ENSMUSG00000028525,5.66443943740571E-06,0.0026831393,ENSMUST00000106908.8
Pold4,ENSMUSG00000097508,0.000005651,0.0026831393,ENSMUST00000180621.2
Myoz1,ENSMUSG00000068697,5.75030717042337E-06,0.002693545,ENSMUST00000224472.1
Btg2,ENSMUSG00000020423,6.01479577925858E-06,0.0027336681,ENSMUST00000020692.6
Jun,ENSMUSG00000052684,5.9248427773875E-06,0.0027336681,ENSMUST00000107094.1
Sgms1,ENSMUSG00000040451,6.0283583323019E-06,0.0027336681,ENSMUST00000099514.9
Acsl6,ENSMUSG00000020333,6.25332096358565E-06,0.0027632087,ENSMUST00000139484.1
Asb14,ENSMUSG00000021898,6.35935014642254E-06,0.0027632087,ENSMUST00000165305.2
Pdp1,ENSMUSG00000049225,6.20911824451512E-06,0.0027632087,ENSMUST00000108297.2
Klhl30,ENSMUSG00000026308,6.4176245903133E-06,0.0027632087,ENSMUST00000027533.8
Asb14,ENSMUSG00000116208,6.35935014642254E-06,0.0027632087,ENSMUST00000229917.1
Atf3,ENSMUSG00000026628,6.85180760292938E-06,0.0029206515,ENSMUST00000195117.1
Clcn1,ENSMUSG00000029862,7.10947117118915E-06,0.0030004784,ENSMUST00000114684.7
Bop1,ENSMUSG00000022557,7.79638784711503E-06,0.0032581258,ENSMUST00000023217.10
Igf2r,ENSMUSG00000023830,7.88064707447642E-06,0.0032613637,ENSMUST00000024599.13
Thpo,ENSMUSG00000022847,8.01551785168774E-06,0.0032852833,ENSMUST00000076422.11
Scx,ENSMUSG00000034161,0.000008189,0.0033244422,ENSMUST00000043089.8
Tmem64,ENSMUSG00000043252,8.30474676231401E-06,0.0033336739,ENSMUST00000062684.8
Zfp697,ENSMUSG00000050064,8.36820506062903E-06,0.0033336739,ENSMUST00000056096.14
Kcnn3,ENSMUSG00000000794,8.72585264749711E-06,0.0034439648,ENSMUST00000000811.7
Cpne2,ENSMUSG00000034361,8.85248839270286E-06,0.0034618915,ENSMUST00000048653.9
Armh4,ENSMUSG00000036242,0.00000903,0.0034676654,ENSMUST00000036972.13
Samd8,ENSMUSG00000021770,8.95066411626161E-06,0.0034676654,ENSMUST00000119430.2
Cited1,ENSMUSG00000051159,9.32119190646047E-06,0.0035475458,ENSMUST00000050551.9
Kcnc1,ENSMUSG00000058975,9.88619670196203E-06,0.0037292834,ENSMUST00000160433.2
Art5,ENSMUSG00000070424,1.07524311348887E-05,0.004020466,ENSMUST00000094128.8
Hrc,ENSMUSG00000038239,1.09217551586949E-05,0.0040438285,ENSMUST00000211327.1
Arhgdig,ENSMUSG00000073433,1.10046474438551E-05,0.0040438285,ENSMUST00000025019.8
Pde7a,ENSMUSG00000069094,1.13483303181423E-05,0.0040994401,ENSMUST00000099195.9
Dapk2,ENSMUSG00000032380,1.12532116567871E-05,0.0040994401,ENSMUST00000034944.8
Phtf2,ENSMUSG00000039987,0.000011828,0.0042368149,ENSMUST00000118174.7
Ramp1,ENSMUSG00000034353,1.19357893570543E-05,0.0042397913,ENSMUST00000097648.5
Tnfrsf12a,ENSMUSG00000023905,1.20782953526134E-05,0.0042519246,ENSMUST00000167059.7
Hmga2,ENSMUSG00000056758,1.22691955021408E-05,0.0042519246,ENSMUST00000072777.13
Efhd2,ENSMUSG00000040659,1.21726350769361E-05,0.0042519246,ENSMUST00000036854.3
Phkg1,ENSMUSG00000025537,1.26851688923129E-05,0.0043606291,ENSMUST00000154495.1
Dhrs7c,ENSMUSG00000033044,1.29713345817159E-05,0.0044233289,ENSMUST00000168612.7
Vamp5,ENSMUSG00000073002,1.42705410394678E-05,0.0047305492,ENSMUST00000101285.9
Mat2a,ENSMUSG00000053907,1.4316164856983E-05,0.0047305492,ENSMUST00000205335.1
Vamp5,ENSMUSG00000102671,1.42705410394678E-05,0.0047305492,ENSMUST00000192869.5
Mat2a,ENSMUSG00000104463,1.4316164856983E-05,0.0047305492,ENSMUST00000206765.1
Tnfrsf23,ENSMUSG00000037613,1.46698426566851E-05,0.0048101286,ENSMUST00000035742.13
Asb5,ENSMUSG00000031519,1.52475707179487E-05,0.0049418318,ENSMUST00000033918.3
Arpp21,ENSMUSG00000032503,1.53033782085497E-05,0.0049418318,ENSMUST00000159220.7
Ttll7,ENSMUSG00000036745,1.54227102910737E-05,0.0049429207,ENSMUST00000037942.10
Kremen1,ENSMUSG00000020393,1.56078442491828E-05,0.0049649251,ENSMUST00000020662.14
Col25a1,ENSMUSG00000058897,1.61109285020022E-05,0.0050495915,ENSMUST00000106353.1
Dusp13,ENSMUSG00000021768,1.60471009586002E-05,0.0050495915,ENSMUST00000120984.8
Sh2d6,ENSMUSG00000052631,1.70996538773844E-05,0.0053203638,ENSMUST00000089687.10
Gmpr,ENSMUSG00000000253,0.000017576,0.0054289471,ENSMUST00000000260.12
Creld1,ENSMUSG00000030284,1.78915835098225E-05,0.0054866665,ENSMUST00000032422.5
Slc43a2,ENSMUSG00000038178,1.83157164105462E-05,0.0055446892,ENSMUST00000042561.13
Ano5,ENSMUSG00000055489,1.83409463818407E-05,0.0055446892,ENSMUST00000043944.5
Arpp21,ENSMUSG00000032503,1.85928693142142E-05,0.0055812651,ENSMUST00000162065.7
Trp63,ENSMUSG00000022510,1.8749520281974E-05,0.0055889304,ENSMUST00000115305.1
Akt2,ENSMUSG00000004056,2.06785984478348E-05,0.0061211523,ENSMUST00000051356.11
Rtn4,ENSMUSG00000020458,0.000020923,0.0061507711,ENSMUST00000060992.5
Scn4b,ENSMUSG00000046480,0.000021511,0.006280327,ENSMUST00000060125.6
Hes6,ENSMUSG00000067071,2.24881530504103E-05,0.0065209525,ENSMUST00000086851.1
Idh2,ENSMUSG00000030541,2.28623869667149E-05,0.0065846764,ENSMUST00000107384.9
Rrp12,ENSMUSG00000035049,2.32644671821404E-05,0.0066555113,ENSMUST00000038677.3
Bace1,ENSMUSG00000032086,2.48629255704882E-05,0.0070653804,ENSMUST00000034591.10
Ehd3,ENSMUSG00000024065,0.000025065,0.0070756208,ENSMUST00000024860.7
Lsm6,ENSMUSG00000031683,2.53541851219348E-05,0.0070880758,ENSMUST00000051867.6
S100a8,ENSMUSG00000056054,2.54416458541123E-05,0.0070880758,ENSMUST00000069927.9
Kpna1,ENSMUSG00000022905,2.58530615487422E-05,0.007155926,ENSMUST00000004054.12
Ube2g2,ENSMUSG00000009293,2.62491369795367E-05,0.007218682,ENSMUST00000174510.7
Traf3ip3,ENSMUSG00000037318,2.65506675916278E-05,0.0072547997,ENSMUST00000160302.3
Arl3,ENSMUSG00000025035,2.77483502384488E-05,0.0073505416,ENSMUST00000026009.8
Hspb8,ENSMUSG00000041548,2.76191763909303E-05,0.0073505416,ENSMUST00000036991.4
Scx,ENSMUSG00000034161,2.76875953516698E-05,0.0073505416,ENSMUST00000229271.1
Asb11,ENSMUSG00000031382,2.77632711244746E-05,0.0073505416,ENSMUST00000036858.10
Armcx4,ENSMUSG00000049804,2.72332064048312E-05,0.0073505416,ENSMUST00000124226.2
Prkaa2,ENSMUSG00000028518,2.84327794720679E-05,0.0074813312,ENSMUST00000030243.7
Runx1,ENSMUSG00000022952,2.86641708256847E-05,0.0074959445,ENSMUST00000113956.9
Ankrd2,ENSMUSG00000025172,2.8910486124604E-05,0.0075142584,ENSMUST00000026172.2
Ncam1,ENSMUSG00000039542,0.000030007,0.0077519854,ENSMUST00000114476.7
Elk1,ENSMUSG00000009406,0.000030503,0.0078326536,ENSMUST00000009550.13
Ppfibp2,ENSMUSG00000036528,3.09453640560339E-05,0.0078986652,ENSMUST00000098134.4
Asb10,ENSMUSG00000038204,3.22076131611619E-05,0.008171915,ENSMUST00000048302.12
Bpifa2,ENSMUSG00000042459,3.2762280022075E-05,0.0082634612,ENSMUST00000048103.8
Tead4,ENSMUSG00000030353,3.46749416561313E-05,0.0086944357,ENSMUST00000130454.7
Riok3,ENSMUSG00000024404,0.000035464,0.0088402947,ENSMUST00000025270.6
Asb15,ENSMUSG00000029685,3.61759478036143E-05,0.0089135026,ENSMUST00000117688.1
Enho,ENSMUSG00000028445,3.61115612716738E-05,0.0089135026,ENSMUST00000127306.1
Arpp21,ENSMUSG00000032503,3.80232148305709E-05,0.0093148135,ENSMUST00000162082.7
Kcnn2,ENSMUSG00000054477,3.98187595600821E-05,0.0096989397,ENSMUST00000169783.1
Cgref1,ENSMUSG00000029161,4.07824379451819E-05,0.0098405094,ENSMUST00000031051.7
Rras,ENSMUSG00000038387,4.15542556349011E-05,0.0098405094,ENSMUST00000044111.9
Cdc42,ENSMUSG00000006699,4.14709001448501E-05,0.0098405094,ENSMUST00000030417.9
Itgb1bp2,ENSMUSG00000031312,4.13942163180289E-05,0.0098405094,ENSMUST00000143946.1
Nim1k,ENSMUSG00000095930,4.1449551691843E-05,0.0098405094,ENSMUST00000178142.1
Tsr1,ENSMUSG00000038335,0.000041882,0.009863336,ENSMUST00000045807.13
Btc,ENSMUSG00000082361,4.35485306110785E-05,0.009992924,ENSMUST00000121044.5
Prune2,ENSMUSG00000039126,4.29947492273033E-05,0.009992924,ENSMUST00000087689.4
Smcr8,ENSMUSG00000049323,0.000043336,0.009992924,ENSMUST00000056907.6
Srxn1,ENSMUSG00000032802,4.36044635715649E-05,0.009992924,ENSMUST00000041500.7
Gm43355,ENSMUSG00000106369,4.30221590329034E-05,0.009992924,ENSMUST00000196541.1
6430571L13Rik,ENSMUSG00000037977,4.48966468671713E-05,0.0101830834,ENSMUST00000042581.3
Fsd2,ENSMUSG00000038663,4.53898054560921E-05,0.0101830834,ENSMUST00000042318.5
Mtor,ENSMUSG00000028991,0.000045234,0.0101830834,ENSMUST00000103221.9
Otog,ENSMUSG00000009487,4.52485956230332E-05,0.0101830834,ENSMUST00000209802.1
Mn1,ENSMUSG00000070576,4.83021298041102E-05,0.0106172345,ENSMUST00000094463.4
Tubb2b,ENSMUSG00000045136,4.83009038341284E-05,0.0106172345,ENSMUST00000075774.4
Agpat3,ENSMUSG00000001211,4.79428443863811E-05,0.0106172345,ENSMUST00000105387.7
Camk2a,ENSMUSG00000024617,4.85703732345355E-05,0.0106172345,ENSMUST00000102888.9
Tas1r3,ENSMUSG00000029072,4.84214932309629E-05,0.0106172345,ENSMUST00000030949.3
Arhgap29,ENSMUSG00000039831,4.97898484721765E-05,0.0107733101,ENSMUST00000037958.13
Pcnt,ENSMUSG00000001151,4.95651530427082E-05,0.0107733101,ENSMUST00000219011.1
Tnnt3,ENSMUSG00000061723,5.06549154783288E-05,0.0109051335,ENSMUST00000105953.9
Hrasls,ENSMUSG00000022525,5.16260986224033E-05,0.0110583622,ENSMUST00000089824.10
Npr3,ENSMUSG00000022206,5.46861816919396E-05,0.0116552659,ENSMUST00000066529.4
Ankrd55,ENSMUSG00000049985,5.61468106143688E-05,0.0119070346,ENSMUST00000022275.13
Cldn2,ENSMUSG00000047230,5.64592425861598E-05,0.0119140182,ENSMUST00000054889.3
Eny2,ENSMUSG00000022338,5.92837913927308E-05,0.0123874063,ENSMUST00000226827.1
2310002L09Rik,ENSMUSG00000028396,5.91829117855032E-05,0.0123874063,ENSMUST00000030101.3
Art1,ENSMUSG00000030996,6.00432621408337E-05,0.012484898,ENSMUST00000210211.1
Rxrg,ENSMUSG00000015843,0.000060798,0.012580471,ENSMUST00000111380.1
Wnk1,ENSMUSG00000045962,6.16200524200684E-05,0.0126279632,ENSMUST00000159903.1
Myl12a,ENSMUSG00000024048,6.14506857878796E-05,0.0126279632,ENSMUST00000148960.7
Iba57,ENSMUSG00000049287,0.000064964,0.0132413129,ENSMUST00000054523.5
Plekhh1,ENSMUSG00000060716,6.52342634420515E-05,0.0132413129,ENSMUST00000039928.6
Tmem189,ENSMUSG00000090213,6.5923920230007E-05,0.0133178816,ENSMUST00000006587.6
Ctf1,ENSMUSG00000042340,6.84753021736372E-05,0.0137034189,ENSMUST00000047393.6
Sema6c,ENSMUSG00000038777,6.84441653636584E-05,0.0137034189,ENSMUST00000130662.1
Emc3,ENSMUSG00000030286,6.99376210356707E-05,0.0139165487,ENSMUST00000032425.6
Lrig1,ENSMUSG00000030029,7.01932617767583E-05,0.0139165487,ENSMUST00000101126.2
Hadh,ENSMUSG00000027984,7.15033248074674E-05,0.0140456255,ENSMUST00000029610.8
Prex1,ENSMUSG00000039621,7.14553341259388E-05,0.0140456255,ENSMUST00000036719.11
Nmt1,ENSMUSG00000020936,0.000071995,0.0140773434,ENSMUST00000021314.7
Galns,ENSMUSG00000015027,7.2715344970297E-05,0.0141532616,ENSMUST00000015171.10
Tmem94,ENSMUSG00000020747,7.37698847071438E-05,0.0142932505,ENSMUST00000093912.10
Dnase2a,ENSMUSG00000003812,7.48653019646538E-05,0.0144398568,ENSMUST00000109744.7
Cdv3,ENSMUSG00000032803,7.75797332247142E-05,0.0148292095,ENSMUST00000190226.6
Lgals1,ENSMUSG00000068220,7.72849313580959E-05,0.0148292095,ENSMUST00000089377.5
Ankrd10,ENSMUSG00000031508,7.92972235666672E-05,0.0150898368,ENSMUST00000169782.2
Evc,ENSMUSG00000029122,8.06577081466882E-05,0.0152805132,ENSMUST00000031005.10
Castor2,ENSMUSG00000015944,8.11793912178588E-05,0.0153112953,ENSMUST00000016088.8
Tulp4,ENSMUSG00000034377,0.00008157,0.0153171946,ENSMUST00000149756.7
Parm1,ENSMUSG00000034981,8.1958449291116E-05,0.0153226353,ENSMUST00000040576.9
Cntnap2,ENSMUSG00000039419,8.26267740326826E-05,0.0153801261,ENSMUST00000060839.7
Kif5b,ENSMUSG00000006740,8.52993448184395E-05,0.0158085647,ENSMUST00000025083.13
2310002L09Rik,ENSMUSG00000028396,9.06697823651804E-05,0.0167311262,ENSMUST00000095023.1
Kcmf1,ENSMUSG00000055239,9.35555019240828E-05,0.017115437,ENSMUST00000204598.2
Tgfb3,ENSMUSG00000021253,9.33882955416868E-05,0.017115437,ENSMUST00000003687.7
Acss1,ENSMUSG00000027452,9.70423145373428E-05,0.0176774603,ENSMUST00000028944.3
Ubxn4,ENSMUSG00000026353,9.95334121269286E-05,0.0180540903,ENSMUST00000027592.5
Tpcn1,ENSMUSG00000032741,0.0001032657,0.0186517176,ENSMUST00000046426.9
Stard9,ENSMUSG00000033705,0.0001045085,0.0187175595,ENSMUST00000141917.1
Dars,ENSMUSG00000026356,0.0001042334,0.0187175595,ENSMUST00000027602.14
Dusp13,ENSMUSG00000021768,0.0001065935,0.0190111017,ENSMUST00000120956.7
3425401B19Rik,ENSMUSG00000071540,0.0001097534,0.0194372555,ENSMUST00000096038.3
Csrp3,ENSMUSG00000030470,0.0001103509,0.0194372555,ENSMUST00000208146.1
Mdh1,ENSMUSG00000020321,0.0001101584,0.0194372555,ENSMUST00000102874.10
Mkln1,ENSMUSG00000025609,0.0001108806,0.0194501848,ENSMUST00000130108.2
Lrrc30,ENSMUSG00000073375,0.0001120706,0.0195196676,ENSMUST00000097290.2
Edar,ENSMUSG00000003227,0.0001121925,0.0195196676,ENSMUST00000003312.4
Prmt1,ENSMUSG00000109324,0.0001132294,0.0196199888,ENSMUST00000107843.10
Rnf217,ENSMUSG00000063760,0.0001144271,0.0197472506,ENSMUST00000081989.7
Prickle3,ENSMUSG00000031145,0.0001196142,0.0205159832,ENSMUST00000129662.2
Ttc9,ENSMUSG00000042734,0.0001205327,0.0205159832,ENSMUST00000036116.5
Gabrg2,ENSMUSG00000020436,0.0001209663,0.0205159832,ENSMUST00000070725.10
Atp1b1,ENSMUSG00000026576,0.0001200563,0.0205159832,ENSMUST00000027863.12
Adssl1,ENSMUSG00000011148,0.0001212881,0.0205159832,ENSMUST00000180015.8
Myoz1,ENSMUSG00000068697,0.0001231813,0.0207538662,ENSMUST00000225231.1
Rin1,ENSMUSG00000024883,0.0001238963,0.0207921377,ENSMUST00000025818.7
Coq8a,ENSMUSG00000026489,0.0001248124,0.0208637427,ENSMUST00000170472.7
Uckl1,ENSMUSG00000089917,0.0001267998,0.0211131643,ENSMUST00000131949.1
Pfn1,ENSMUSG00000018293,0.0001302621,0.0214396187,ENSMUST00000018437.2
Gfra4,ENSMUSG00000027316,0.0001311621,0.0214396187,ENSMUST00000156509.1
Sema6c,ENSMUSG00000038777,0.0001305202,0.0214396187,ENSMUST00000126597.1
Nudt4,ENSMUSG00000020029,0.0001292995,0.0214396187,ENSMUST00000020217.6
Fggy,ENSMUSG00000028573,0.0001312753,0.0214396187,ENSMUST00000176162.7
Lsm6,ENSMUSG00000031683,0.0001326717,0.0215849818,ENSMUST00000146824.1
Rnd1,ENSMUSG00000054855,0.0001363403,0.0220974922,ENSMUST00000003451.10
Mknk2,ENSMUSG00000020190,0.000140781,0.0226450158,ENSMUST00000003433.10
Armcx3,ENSMUSG00000049047,0.0001403293,0.0226450158,ENSMUST00000081834.9
Ptx3,ENSMUSG00000027832,0.000143553,0.0230041004,ENSMUST00000182521.1
Pfkfb2,ENSMUSG00000026409,0.0001486947,0.0237387956,ENSMUST00000187522.1
Dusp10,ENSMUSG00000039384,0.000149644,0.0238012125,ENSMUST00000048655.7
Ttyh1,ENSMUSG00000030428,0.0001521274,0.0240556184,ENSMUST00000126971.7
Thra,ENSMUSG00000058756,0.0001523722,0.0240556184,ENSMUST00000064187.11
Akip1,ENSMUSG00000031023,0.0001551863,0.0244094908,ENSMUST00000033335.5
Apbb2,ENSMUSG00000029207,0.0001559435,0.0244187997,ENSMUST00000162955.7
Erfe,ENSMUSG00000047443,0.0001563912,0.0244187997,ENSMUST00000086861.11
Ppp2r3a,ENSMUSG00000043154,0.0001581597,0.0245523062,ENSMUST00000066773.8
Gm17823,ENSMUSG00000112239,0.0001583983,0.0245523062,ENSMUST00000217830.1
Pvr,ENSMUSG00000040511,0.0001635408,0.0252575716,ENSMUST00000160572.7
Zfp52,ENSMUSG00000051341,0.0001668558,0.0256765102,ENSMUST00000079242.3
Fez1,ENSMUSG00000032118,0.000170072,0.0260773024,ENSMUST00000034630.14
Bcl6,ENSMUSG00000022508,0.0001715118,0.0262038117,ENSMUST00000023151.5
Slco5a1,ENSMUSG00000025938,0.0001745446,0.0265719171,ENSMUST00000188454.6
Myl4,ENSMUSG00000061086,0.0001777519,0.0269638941,ENSMUST00000106956.9
Ehd4,ENSMUSG00000027293,0.0001802861,0.0272513319,ENSMUST00000028755.7
St3gal5,ENSMUSG00000056091,0.000182639,0.0275094272,ENSMUST00000069994.10
Tmem65,ENSMUSG00000062373,0.0001836442,0.0275634459,ENSMUST00000072113.5
Bysl,ENSMUSG00000023988,0.0001863554,0.0277747714,ENSMUST00000024783.8
Mgst3,ENSMUSG00000026688,0.0001858431,0.0277747714,ENSMUST00000028005.2
Atp2a2,ENSMUSG00000029467,0.000187693,0.027876665,ENSMUST00000177974.7
Gprc5c,ENSMUSG00000051043,0.0001913858,0.0282284088,ENSMUST00000177952.7
Lbh,ENSMUSG00000024063,0.0001912697,0.0282284088,ENSMUST00000024857.12
Lynx1,ENSMUSG00000022594,0.0001934919,0.0284406373,ENSMUST00000023259.14
Ccdc85a,ENSMUSG00000032878,0.0001953933,0.0285312756,ENSMUST00000146385.8
